crate	file	test_name	kind	authorizing_ruling	rung	hd_receipt
simthing-sim	crates/simthing-sim/tests/movement_decision_ingress_0.rs	sealed_cell_crossing_moves_one_edge_with_stable_slot_root_owner_bind_and_arrival_overlay	integration	5229219748-OWNER	MOVEMENT-DECISION-INGRESS-0	f9e4f189e200
simthing-sim	crates/simthing-sim/tests/movement_decision_ingress_0.rs	changing_sealed_field_locus_changes_choice_without_editing_identity_or_using_order	integration	5229219748-OWNER	MOVEMENT-DECISION-INGRESS-0	f9e4f189e200
simthing-sim	crates/simthing-sim/tests/movement_decision_ingress_0.rs	free_repositioning_uses_same_costband_path_and_consumes_zero	integration	5229219748-OWNER	MOVEMENT-DECISION-INGRESS-0	f9e4f189e200
simthing-sim	crates/simthing-sim/tests/movement_decision_ingress_0.rs	arrived_at_dissolves_from_authoritative_residency_relation	integration	5229219748-OWNER	MOVEMENT-DECISION-INGRESS-0	f9e4f189e200
simthing-sim	crates/simthing-sim/tests/movement_decision_ingress_0.rs	origin_lifecycle_cost_and_missing_endpoint_mutants_red_the_production_validators	integration	5229219748-OWNER	MOVEMENT-DECISION-INGRESS-0	f9e4f189e200
simthing-driver	crates/simthing-driver/tests/movement_decision_ingress_0.rs	ordinary_overlay_weighting_changes_the_sealed_field_destination_without_editing_identity	integration	5229219748-OWNER	MOVEMENT-DECISION-INGRESS-0	f9e4f189e200
simthing-workshop	crates/simthing-workshop/tests/actionband_composition_probe_0.rs	deficit_claim_b_field_and_overlay_redirect_without_identity_edits	integration	5229219748-OWNER	ACTIONBAND-COMPOSITION-PROBE-0	6f36cb778e6f
simthing-workshop	crates/simthing-workshop/tests/actionband_composition_probe_0.rs	deficit_hardcoded_authority_and_clearing_bypass_mutants_red	integration	5229219748-OWNER	ACTIONBAND-COMPOSITION-PROBE-0	6f36cb778e6f
simthing-workshop	crates/simthing-workshop/tests/actionband_composition_probe_0.rs	linkgraph_claim_b_field_and_overlay_redirect_without_identity_edits	integration	5229219748-OWNER	ACTIONBAND-COMPOSITION-PROBE-0	6f36cb778e6f
simthing-workshop	crates/simthing-workshop/tests/actionband_composition_probe_0.rs	linkgraph_hardcoded_authority_and_clearing_bypass_mutants_red	integration	5229219748-OWNER	ACTIONBAND-COMPOSITION-PROBE-0	6f36cb778e6f
simthing-workshop	crates/simthing-workshop/tests/actionband_composition_probe_0.rs	fission_claim_b_field_and_overlay_redirect_without_identity_edits	integration	5229219748-OWNER	ACTIONBAND-COMPOSITION-PROBE-0	6f36cb778e6f
simthing-workshop	crates/simthing-workshop/tests/actionband_composition_probe_0.rs	fission_hardcoded_authority_and_clearing_bypass_mutants_red	integration	5229219748-OWNER	ACTIONBAND-COMPOSITION-PROBE-0	6f36cb778e6f
simthing-workshop	crates/simthing-workshop/tests/actionband_composition_probe_0.rs	movement_claim_b_field_and_overlay_redirect_without_identity_edits	integration	5229219748-OWNER	ACTIONBAND-COMPOSITION-PROBE-0	6f36cb778e6f
simthing-workshop	crates/simthing-workshop/tests/actionband_composition_probe_0.rs	movement_hardcoded_origin_and_costband_bypass_mutants_red	integration	5229219748-OWNER	ACTIONBAND-COMPOSITION-PROBE-0	6f36cb778e6f
simthing-workshop	crates/simthing-workshop/tests/actionband_composition_probe_0.rs	structural_table_concludes_candidate_b_with_special_seams	integration	5229219748-OWNER	ACTIONBAND-COMPOSITION-PROBE-0	6f36cb778e6f
simthing-workshop	crates/simthing-workshop/src/actionband_composition_probe_0.rs	measured_tables_conclude_candidate_b	unit	5229219748-OWNER	ACTIONBAND-COMPOSITION-PROBE-0	6f36cb778e6f
simthing-workshop	crates/simthing-workshop/src/actionband_composition_probe_0.rs	candidate_a_requires_identical_literal_paths	unit	5229219748-OWNER	ACTIONBAND-COMPOSITION-PROBE-0	6f36cb778e6f
simthing-core	crates/simthing-core/src/column_index.rs	legacy_new_delegates_to_the_fenced_raw_door	unit	5356131544-DA	RF-COLUMN-MINT-MIGRATE-0	11176c638ff7
