date	role	query	anchors_served	hit
2026-07-26T18:16:33Z	coding	--grep orientation-harness-core	orientation-harness-core	hit
2026-07-26T18:16:33Z	coding	--grep scanner-selftest-delta-gate	scanner-selftest-delta-gate	hit
2026-07-26T18:16:33Z	coding	--grep workshop-candidate-homing	workshop-candidate-homing	hit
2026-07-26T18:16:34Z	coding	--grep OC-K2.1a	none	none
2026-07-26T18:16:34Z	coding	--grep Phase 0	simthing-0087-binding-laws,simthing-0087-pillars	hit
2026-07-27T00:44:07Z	coding	--grep clausething-closed-vertical	clausething-closed-vertical	hit
2026-07-27T00:44:07Z	coding	--grep field-policy-time-decisions	field-policy-time-decisions	hit
2026-07-27T00:44:07Z	coding	--grep founding-ontology-invariants	founding-ontology-invariants	hit
2026-07-27T00:44:08Z	coding	--grep one-tree-owners-never-spatial	one-tree-owners-never-spatial	hit
2026-07-27T00:44:08Z	coding	--grep peripheral-scope-adrs	peripheral-scope-adrs	hit
2026-07-27T00:44:08Z	coding	--grep property-value-rf-overlays	property-value-rf-overlays	hit
2026-07-27T00:44:14Z	coding	--grep session-lifecycle-adr-family	session-lifecycle-adr-family	hit
2026-07-27T00:44:15Z	coding	--grep stead-spatial-contract-core	stead-spatial-contract-core	hit
2026-07-27T00:44:15Z	coding	--grep structural-execution-convergence	structural-execution-convergence	hit
2026-07-27T00:44:15Z	coding	--domain core-0087	rf-arena-substrate,simthing-0087-binding-laws,simthing-0087-pillars	hit
2026-07-27T00:44:15Z	coding	--grep workshop-candidate-homing	workshop-candidate-homing	hit
2026-07-27T00:44:15Z	coding	--grep orientation-harness-core	orientation-harness-core	hit
2026-07-27T00:44:16Z	coding	--grep scanner-selftest-delta-gate	scanner-selftest-delta-gate	hit
2026-07-27T01:09:27Z	coding	--grep P0(a)	none	none
2026-07-27T01:09:27Z	coding	--grep parent edge	simthing-0087-pillars	hit
2026-07-27T03:15:58Z	coding	--paths crates/simthing-core/src crates/simthing-driver/src	field-policy-time-decisions,founding-ontology-invariants,property-value-rf-overlays,rf-arena-substrate,simthing-0087-binding-laws,simthing-0087-pillars,stead-spatial-contract-core,structural-execution-convergence,workshop-candidate-homing	hit
2026-07-27T03:21:28Z	coding	--grep SESSION-WIRING	none	none
2026-07-27T03:21:29Z	coding	--domain session-wiring	none	none
